ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P18A24A
17,Morelos,000,Total de la entidad Morelos,0000,Total de la Entidad,78261
17,Morelos,000,Total de la entidad Morelos,9998,Localidades de una vivienda,19
17,Morelos,000,Total de la entidad Morelos,9999,Localidades de dos viviendas,8
17,Morelos,001,Amacuzac,0000,Total del Municipio,497
17,Morelos,001,Amacuzac,0001,Amacuzac,217
17,Morelos,001,Amacuzac,0002,Cajones,9
17,Morelos,001,Amacuzac,0003,Casahuatlán,28
17,Morelos,001,Amacuzac,0004,Coahuixtla,22
17,Morelos,001,Amacuzac,0005,Huajintlán,70
17,Morelos,001,Amacuzac,0006,Miahuatlán (El Cuiji),9
17,Morelos,001,Amacuzac,0007,Rancho Nuevo,17
17,Morelos,001,Amacuzac,0008,San Gabriel las Palmas,77
17,Morelos,001,Amacuzac,0009,Teacalco,17
17,Morelos,001,Amacuzac,0010,Zoquital,1
17,Morelos,001,Amacuzac,0012,Campo Nuevo,1
17,Morelos,001,Amacuzac,0016,Colonia el Campamento,4
17,Morelos,001,Amacuzac,0019,Colonia Ejidal,10
17,Morelos,001,Amacuzac,0021,Los Limones,5
17,Morelos,001,Amacuzac,0026,Colonia Oriental,4
17,Morelos,001,Amacuzac,0033,Tula,1
17,Morelos,001,Amacuzac,0036,Colonia Ocampo,0
17,Morelos,001,Amacuzac,0037,El Campamento,3
17,Morelos,001,Amacuzac,0041,Villa Verde,0
17,Morelos,001,Amacuzac,0042,Parada de Coahuixtla (Colonia Benito Juárez),0
17,Morelos,001,Amacuzac,0043,La Primera (El Ladrón),0
17,Morelos,001,Amacuzac,0044,La Calera,0
17,Morelos,001,Amacuzac,0047,El Paso de Miahuatlán,*
17,Morelos,001,Amacuzac,0048,El Rosal (El Alacrán),0
17,Morelos,001,Amacuzac,0050,Los Baños de Tula,*
17,Morelos,001,Amacuzac,0051,Campo la Cazuela,*
17,Morelos,001,Amacuzac,0053,Colonia Ojo de Agua,1
17,Morelos,001,Amacuzac,0057,Campo la Respiración,0
17,Morelos,001,Amacuzac,0059,Colonia Cuauhtémoc,1
17,Morelos,001,Amacuzac,0060,Colonia el Mirador,0
17,Morelos,001,Amacuzac,0063,La Peña,*
17,Morelos,001,Amacuzac,9998,Localidades de una vivienda,0
17,Morelos,001,Amacuzac,9999,Localidades de dos viviendas,*
17,Morelos,002,Atlatlahucan,0000,Total del Municipio,830
17,Morelos,002,Atlatlahucan,0001,Atlatlahucan,340
17,Morelos,002,Atlatlahucan,0002,Telchicayac (El Cabellito),8
17,Morelos,002,Atlatlahucan,0008,Colonia Kilómetro 88,35
17,Morelos,002,Atlatlahucan,0014,San Diego Tepantongo,13
17,Morelos,002,Atlatlahucan,0016,Santa Inés,2
17,Morelos,002,Atlatlahucan,0018,Telminca,0
17,Morelos,002,Atlatlahucan,0020,San Juan Texcalpan,45
17,Morelos,002,Atlatlahucan,0021,Tlaltetelco (San Miguel Tlaltetelco),72
17,Morelos,002,Atlatlahucan,0022,Barranca Seca,2
17,Morelos,002,Atlatlahucan,0025,Colonia San Francisco,37
17,Morelos,002,Atlatlahucan,0028,Asociación de Colonos Hacienda la Alborada,3
17,Morelos,002,Atlatlahucan,0029,El Astillero,3
17,Morelos,002,Atlatlahucan,0030,Centro Asturiano de México,*
17,Morelos,002,Atlatlahucan,0031,Rancho Zacanco (La Cueva),6
17,Morelos,002,Atlatlahucan,0033,Fraccionamiento Lomas de Cocoyoc,123
17,Morelos,002,Atlatlahucan,0036,Unidad Habitacional Vicente Guerrero,10
17,Morelos,002,Atlatlahucan,0039,Rancho Temecatitla,0
17,Morelos,002,Atlatlahucan,0043,Colonia el Salto,2
17,Morelos,002,Atlatlahucan,0044,Los Cerritos,18
17,Morelos,002,Atlatlahucan,0046,Fraccionamiento Jardines de Jericó,0
17,Morelos,002,Atlatlahucan,0047,El Jaral,*
17,Morelos,002,Atlatlahucan,0049,Loma de Malpaís,*
17,Morelos,002,Atlatlahucan,0053,Puntas de Malpaís (Malpaís),1
17,Morelos,002,Atlatlahucan,0054,Colonia Campestre Lomas de Texcalpan,5
17,Morelos,002,Atlatlahucan,0057,Rancho Santa Cruz,*
17,Morelos,002,Atlatlahucan,0058,Rancho Teoxtoc,0
17,Morelos,002,Atlatlahucan,0060,Campo Caballojapa,2
17,Morelos,002,Atlatlahucan,0061,Colonia el Puente,7
17,Morelos,002,Atlatlahucan,0062,Jagüeycillos (Colonia 10 de Mayo),10
17,Morelos,002,Atlatlahucan,0066,Ampliación San Antonio,8
17,Morelos,002,Atlatlahucan,0067,Colonia la Guadalupana,5
17,Morelos,002,Atlatlahucan,0068,Las Minas,52
17,Morelos,002,Atlatlahucan,0070,Colonia Pozo Mancera,12
17,Morelos,002,Atlatlahucan,0071,Colonia Rancho Santa Cruz,2
17,Morelos,002,Atlatlahucan,0073,Rancho la Tortuga,1
17,Morelos,002,Atlatlahucan,0076,Ameyalco,0
17,Morelos,002,Atlatlahucan,0077,Fraccionamiento Tehuicil,1
17,Morelos,002,Atlatlahucan,0078,Colonia Alta Vista,0
17,Morelos,002,Atlatlahucan,0079,Campo Tlacotlaco,4
17,Morelos,002,Atlatlahucan,0080,Linda Vista,1
17,Morelos,002,Atlatlahucan,0081,Pilalpuente [Rancho],0
17,Morelos,002,Atlatlahucan,9998,Localidades de una vivienda,*
17,Morelos,002,Atlatlahucan,9999,Localidades de dos viviendas,0
17,Morelos,003,Axochiapan,0000,Total del Municipio,989
17,Morelos,003,Axochiapan,0001,Axochiapan,548
17,Morelos,003,Axochiapan,0002,Ahuaxtla,3
17,Morelos,003,Axochiapan,0003,Atlacahualoya,65
17,Morelos,003,Axochiapan,0004,Los Carros,0
17,Morelos,003,Axochiapan,0005,Cayehuacán,4
17,Morelos,003,Axochiapan,0006,Joaquín Camaño,14
17,Morelos,003,Axochiapan,0007,Marcelino Rodríguez (San Ignacio),60
17,Morelos,003,Axochiapan,0008,Palo Blanco,4
17,Morelos,003,Axochiapan,0009,Quebrantadero,112
17,Morelos,003,Axochiapan,0010,Telixtac,78
17,Morelos,003,Axochiapan,0011,Tlalayo,13
17,Morelos,003,Axochiapan,0014,Coayuca Colonia de Morelos,0
17,Morelos,003,Axochiapan,0015,Los Gavilanes,3
17,Morelos,003,Axochiapan,0016,Las Tinajas,*
17,Morelos,003,Axochiapan,0017,La Nopalera,5
17,Morelos,003,Axochiapan,0018,El Papagayo,8
17,Morelos,003,Axochiapan,0020,La Toma,1
17,Morelos,003,Axochiapan,0021,Colonia los Laureles,7
17,Morelos,003,Axochiapan,0022,La Estación,*
17,Morelos,003,Axochiapan,0024,El Puente del Pajarito,*
17,Morelos,003,Axochiapan,0026,5 de Mayo,1
17,Morelos,003,Axochiapan,0028,Juan Ortega Sánchez,3
17,Morelos,003,Axochiapan,0029,Unidad Habitacional Benito Juárez,5
17,Morelos,003,Axochiapan,0036,Barranca del Ahuehuete,*
17,Morelos,003,Axochiapan,0037,Campo el Coyul,*
17,Morelos,003,Axochiapan,0039,Campo el Pajarito (Sistema de Agua Potable),*
17,Morelos,003,Axochiapan,0041,Campo la Zacatera,1
17,Morelos,003,Axochiapan,0042,Sistema Uno de Bombeo,*
17,Morelos,003,Axochiapan,0044,Santa María,0
17,Morelos,003,Axochiapan,0045,La Huerta (La Bomba Dos),0
17,Morelos,003,Axochiapan,0046,La Joya del Zompa,*
17,Morelos,003,Axochiapan,0048,Los Linderos (Fábrica de Yeso),1
17,Morelos,003,Axochiapan,0049,El Mezquital,*
17,Morelos,003,Axochiapan,0054,Rancho Cabrera,0
17,Morelos,003,Axochiapan,0055,Rancho el Mirador,*
17,Morelos,003,Axochiapan,0056,Rancho Isaías,3
17,Morelos,003,Axochiapan,0057,Rancho María de Jesús Barrera,1
17,Morelos,003,Axochiapan,0058,Colonia Rubén Carrillo,5
17,Morelos,003,Axochiapan,0059,Campo el Pedregal,*
17,Morelos,003,Axochiapan,0060,Cuauhtémoc,9
17,Morelos,003,Axochiapan,0061,Ampliación Juan González y Año 2000,1
17,Morelos,003,Axochiapan,0063,Campo la Comunidad,0
17,Morelos,003,Axochiapan,0064,Campo la Laguna,1
17,Morelos,003,Axochiapan,0067,Colonia los Tres Reyes,2
17,Morelos,003,Axochiapan,0069,El Edén [Rancho],2
17,Morelos,003,Axochiapan,0072,Campo el Papayo,*
17,Morelos,003,Axochiapan,0073,Campo Jicamal,3
17,Morelos,003,Axochiapan,0074,Colonia el CBTA,7
17,Morelos,003,Axochiapan,0075,Colonia las Palmas,0
17,Morelos,003,Axochiapan,0076,Colonia Nueva Esperanza,0
17,Morelos,003,Axochiapan,0077,Almolonca,0
17,Morelos,003,Axochiapan,0078,Colonia Carrillo Olea (La Primavera),8
17,Morelos,003,Axochiapan,0080,Colonia 2000,3
17,Morelos,003,Axochiapan,0081,Colonia la Guadalupana,1
17,Morelos,003,Axochiapan,0082,Colonia Florida,1
17,Morelos,003,Axochiapan,0083,Colonia Cuatecomates,3
17,Morelos,003,Axochiapan,0084,Colonia Morelos,1
17,Morelos,003,Axochiapan,0085,Presa los Carros,*
17,Morelos,003,Axochiapan,9998,Localidades de una vivienda,2
17,Morelos,003,Axochiapan,9999,Localidades de dos viviendas,0
17,Morelos,004,Ayala,0000,Total del Municipio,2795
17,Morelos,004,Ayala,0001,Ciudad Ayala,271
17,Morelos,004,Ayala,0002,Abelardo L. Rodríguez,66
17,Morelos,004,Ayala,0004,Anenecuilco,361
17,Morelos,004,Ayala,0005,San Pedro Apatlaco,451
17,Morelos,004,Ayala,0006,Benito Juárez,10
17,Morelos,004,Ayala,0008,Chinameca,57
17,Morelos,004,Ayala,0010,Huacatlaco (Los Anonos),4
17,Morelos,004,Ayala,0011,Huitzililla,68
17,Morelos,004,Ayala,0012,Jaloxtoc,122
17,Morelos,004,Ayala,0014,Moyotepec,138
17,Morelos,004,Ayala,0015,Niños Héroes,24
17,Morelos,004,Ayala,0016,Olintepec,52
17,Morelos,004,Ayala,0017,Palo Blanco,8
17,Morelos,004,Ayala,0019,Rafael Merino (San Antonio),24
17,Morelos,004,Ayala,0021,La Sábana,5
17,Morelos,004,Ayala,0022,El Salitre,23
17,Morelos,004,Ayala,0023,San Juan Ahuehueyo,78
17,Morelos,004,Ayala,0024,San Vicente de Juárez (Las Piedras),22
17,Morelos,004,Ayala,0025,Tecomalco,2
17,Morelos,004,Ayala,0026,Tenextepango,325
17,Morelos,004,Ayala,0027,Tlayecac,115
17,Morelos,004,Ayala,0028,El Vergel,10
17,Morelos,004,Ayala,0029,Fraccionamiento el Venadito,3
17,Morelos,004,Ayala,0030,Parque Industrial Cuautla,0
17,Morelos,004,Ayala,0031,Fraccionamiento Huertas de Cuautla,55
17,Morelos,004,Ayala,0032,Fraccionamiento Prados del Sol,3
17,Morelos,004,Ayala,0033,Fraccionamiento Paraíso Tlahuica,9
17,Morelos,004,Ayala,0034,Fraccionamiento Citlalin,1
17,Morelos,004,Ayala,0035,Fraccionamiento Isla de Cuautla,9
17,Morelos,004,Ayala,0037,Rancho la Barranquilla,*
17,Morelos,004,Ayala,0038,Buena Vista,10
17,Morelos,004,Ayala,0040,Rancho Rosa y Manuel (Casa Blanca),*
17,Morelos,004,Ayala,0042,Constancio Farfán (La Pascuala),47
17,Morelos,004,Ayala,0043,Colonia la Libertad,2
17,Morelos,004,Ayala,0049,Unidad Habitacional Mariano Matamoros,30
17,Morelos,004,Ayala,0050,Campo Agua de los Patos,*
17,Morelos,004,Ayala,0053,Ampliación Campo el Higuerillo,0
17,Morelos,004,Ayala,0054,Colonia Ejidal Rafael Merino,21
17,Morelos,004,Ayala,0055,Ejido Nueva Olintepec,12
17,Morelos,004,Ayala,0056,Unidad Piscícola de Chinameca,0
17,Morelos,004,Ayala,0057,Unidad Piscícola el Vergel,0
17,Morelos,004,Ayala,0058,El Almacén,6
17,Morelos,004,Ayala,0064,Campo Nuevo,*
17,Morelos,004,Ayala,0065,Granja las Cebollas,*
17,Morelos,004,Ayala,0066,Colonia las Lumbreras,5
17,Morelos,004,Ayala,0069,Rancho el Pañuelo,2
17,Morelos,004,Ayala,0070,Unidad Habitacional 10 de Abril,61
17,Morelos,004,Ayala,0073,Colonia las Arboledas,55
17,Morelos,004,Ayala,0075,Campo la Escopeta,12
17,Morelos,004,Ayala,0076,Granja las Codornices (La Fábrica),*
17,Morelos,004,Ayala,0077,Rancho Chicapa (Teteltitla),*
17,Morelos,004,Ayala,0078,Granja la Esperanza,*
17,Morelos,004,Ayala,0079,El Jagüey,*
17,Morelos,004,Ayala,0080,Colonia General Emiliano Zapata (El Chivatero),9
17,Morelos,004,Ayala,0082,La Doncella,4
17,Morelos,004,Ayala,0083,La Joya,8
17,Morelos,004,Ayala,0084,Loma Bonita,10
17,Morelos,004,Ayala,0087,Campo Palomar Chico,3
17,Morelos,004,Ayala,0088,Campo Amate Amarillo,0
17,Morelos,004,Ayala,0089,Campo Bustamante,*
17,Morelos,004,Ayala,0091,Campo el Chivatero,0
17,Morelos,004,Ayala,0093,Campo el Salto,*
17,Morelos,004,Ayala,0094,Campo Iturbide,*
17,Morelos,004,Ayala,0095,Campo la Soledad,4
17,Morelos,004,Ayala,0097,Campo las Cruces,*
17,Morelos,004,Ayala,0099,Campo los Pilares,1
17,Morelos,004,Ayala,0103,Fraccionamiento las Llaves,49
17,Morelos,004,Ayala,0106,Ampliación Chinameca,0
17,Morelos,004,Ayala,0108,La Joya Escondida,*
17,Morelos,004,Ayala,0109,El Pozo,0
17,Morelos,004,Ayala,0110,Rancho Agua Limpia,0
17,Morelos,004,Ayala,0114,Rancho el Amate,*
17,Morelos,004,Ayala,0116,Rancho la Herradura,*
17,Morelos,004,Ayala,0120,Rancho los Aviña,*
17,Morelos,004,Ayala,0121,Rancho Santana 1,0
17,Morelos,004,Ayala,0124,El Sifón de la Cuera,0
17,Morelos,004,Ayala,0126,Anenecuilco,*
17,Morelos,004,Ayala,0129,Colonia Segunda Ampliación Moyotepec,0
17,Morelos,004,Ayala,0130,Puente Blanco,0
17,Morelos,004,Ayala,0132,Agua Salada,2
17,Morelos,004,Ayala,0133,Ampliación las Flores,0
17,Morelos,004,Ayala,0134,Ampliación Rafael Merino,1
17,Morelos,004,Ayala,0137,Campo Huizachera 2,3
17,Morelos,004,Ayala,0139,El Crucero de Chinameca,0
17,Morelos,004,Ayala,0140,El Jagüey,*
17,Morelos,004,Ayala,0141,Las Lajas,*
17,Morelos,004,Ayala,0142,El Mirador,26
17,Morelos,004,Ayala,0143,Rancho Epifanio Sotelo,*
17,Morelos,004,Ayala,0144,Rancho Palomar Grande,0
17,Morelos,004,Ayala,0146,Rincón de los Sauces,0
17,Morelos,004,Ayala,0147,2da. Sección Benito Juárez,0
17,Morelos,004,Ayala,0149,Anenecuilco,2
17,Morelos,004,Ayala,0150,Campo los Pedros,0
17,Morelos,004,Ayala,0152,Colonia Leopoldo Heredia,2
17,Morelos,004,Ayala,0153,Rancho el Naranjo (La Escondida),*
17,Morelos,004,Ayala,0154,Ampliación Tenextepango (La Parcela),10
17,Morelos,004,Ayala,0155,El Axocoche,*
17,Morelos,004,Ayala,0156,El Cerro Olinche,2
17,Morelos,004,Ayala,0157,Colonia Ampliación Cruz Verde,1
17,Morelos,004,Ayala,0158,Colonia Ampliación Norte,*
17,Morelos,004,Ayala,0159,Ejido Anenecuilco,*
17,Morelos,004,Ayala,0160,Valle de Morelos,9
17,Morelos,004,Ayala,0162,Moyotepec,0
17,Morelos,004,Ayala,0163,Parada a Huexca,0
17,Morelos,004,Ayala,0164,Colonia las Flores,0
17,Morelos,004,Ayala,0166,Campo Puente de Fierro,1
17,Morelos,004,Ayala,0167,Colonia las Joyas,*
17,Morelos,004,Ayala,0168,Colonia Pablo Torres Burgos,0
17,Morelos,004,Ayala,0169,El Barreal,*
17,Morelos,004,Ayala,0170,Rancho Chalpa,*
17,Morelos,004,Ayala,0171,Jaloxtoc,0
17,Morelos,004,Ayala,0172,Fraccionamiento Villa Dorada,0
17,Morelos,004,Ayala,0173,Huertos el Paraíso,*
17,Morelos,004,Ayala,0175,Campo los Bandidos,*
17,Morelos,004,Ayala,0176,Campo la Canoa,*
17,Morelos,004,Ayala,0177,Campo Santa Rosa,1
17,Morelos,004,Ayala,0178,Fraccionamiento Rinconada del Valle,0
17,Morelos,004,Ayala,0180,Rancho San José,*
17,Morelos,004,Ayala,0181,San Rafael,*
17,Morelos,004,Ayala,0182,Residencial la Cantera,8
17,Morelos,004,Ayala,0183,Residencial Villa de los Arcos,6
17,Morelos,004,Ayala,0184,Residencial los Sauces,14
17,Morelos,004,Ayala,0186,Ampliación la Cucaracha,0
17,Morelos,004,Ayala,0188,Campo el Brasil,0
17,Morelos,004,Ayala,0189,Campo Hidalgo,*
17,Morelos,004,Ayala,0190,Campo Palo Blanco,*
17,Morelos,004,Ayala,0194,Fraccionamiento la Paz,8
17,Morelos,004,Ayala,0196,Valle del Pedregal [Fraccionamiento],30
17,Morelos,004,Ayala,0197,Colonia Avilés,*
17,Morelos,004,Ayala,0198,Vida y Sol,0
17,Morelos,004,Ayala,0199,Linda Vista,1
17,Morelos,004,Ayala,9998,Localidades de una vivienda,1
17,Morelos,004,Ayala,9999,Localidades de dos viviendas,0
17,Morelos,005,Coatlán del Río,0000,Total del Municipio,223
17,Morelos,005,Coatlán del Río,0001,Coatlán del Río,56
17,Morelos,005,Coatlán del Río,0002,Apancingo,18
17,Morelos,005,Coatlán del Río,0003,Benito Juárez,2
17,Morelos,005,Coatlán del Río,0004,Buenavista de Aldama,4
17,Morelos,005,Coatlán del Río,0005,Cocoyotla,21
17,Morelos,005,Coatlán del Río,0006,Colonia Cuauhtémoc,11
17,Morelos,005,Coatlán del Río,0007,Colonia Morelos,11
17,Morelos,005,Coatlán del Río,0008,Chavarría,22
17,Morelos,005,Coatlán del Río,0009,Michapa,32
17,Morelos,005,Coatlán del Río,0010,Tilancingo,14
17,Morelos,005,Coatlán del Río,0011,Cuernavaquita,0
17,Morelos,005,Coatlán del Río,0012,El Axixintle (El Treinta y Cinco),1
17,Morelos,005,Coatlán del Río,0014,El Canelillo,9
17,Morelos,005,Coatlán del Río,0018,San Antonio,3
17,Morelos,005,Coatlán del Río,0019,Tezoquipa,9
17,Morelos,005,Coatlán del Río,0020,Colonia San José,0
17,Morelos,005,Coatlán del Río,0023,Puente el Arenal (La Joya),1
17,Morelos,005,Coatlán del Río,0027,El Amate,1
17,Morelos,005,Coatlán del Río,0029,CEFERESO Número 16 CPS Femenil Morelos,*
17,Morelos,005,Coatlán del Río,9998,Localidades de una vivienda,*
17,Morelos,006,Cuautla,0000,Total del Municipio,7816
17,Morelos,006,Cuautla,0001,Cuautla,6852
17,Morelos,006,Cuautla,0003,Calderón,38
17,Morelos,006,Cuautla,0014,Ex-Hacienda el Hospital,74
17,Morelos,006,Cuautla,0021,Puxtla,53
17,Morelos,006,Cuautla,0030,Empleado Municipal,31
17,Morelos,006,Cuautla,0032,Peña Flores (Palo Verde),154
17,Morelos,006,Cuautla,0040,Narciso Mendoza,65
17,Morelos,006,Cuautla,0043,Colonia los Cortés (Segundo Campo de Puxtla),9
17,Morelos,006,Cuautla,0044,Rancho Guadalupe,*
17,Morelos,006,Cuautla,0047,3 de Mayo,23
17,Morelos,006,Cuautla,0051,19 de Febrero de 1812,39
17,Morelos,006,Cuautla,0056,Colonia Polvorín 18 de Septiembre 94,8
17,Morelos,006,Cuautla,0059,Reforma,28
17,Morelos,006,Cuautla,0062,Tinajas,*
17,Morelos,006,Cuautla,0064,Héroe de Nacozari,26
17,Morelos,006,Cuautla,0065,Colonia el Sifón,3
17,Morelos,006,Cuautla,0073,Los Cerritos,12
17,Morelos,006,Cuautla,0077,Jicamán (Colonia el Mirador),22
17,Morelos,006,Cuautla,0078,Tierra Larga,79
17,Morelos,006,Cuautla,0083,Colonia 12 de Diciembre,17
17,Morelos,006,Cuautla,0092,Santa Cruz (Campo Santa Cruz),0
17,Morelos,006,Cuautla,0096,Ampliación Santa Cruz,4
17,Morelos,006,Cuautla,0098,Ampliación Reforma,6
17,Morelos,006,Cuautla,0099,La Esperanza,7
17,Morelos,006,Cuautla,0100,La Loma,*
17,Morelos,006,Cuautla,0106,Las Vegas,1
17,Morelos,006,Cuautla,0107,Colonia Martínez Peña (Los Dos Puentes),6
17,Morelos,006,Cuautla,0108,Rancho Santa Teresa,*
17,Morelos,006,Cuautla,0109,Campo Partidor Zumpango,18
17,Morelos,006,Cuautla,0110,Ampliación Biznaga Uno,10
17,Morelos,006,Cuautla,0111,Ampliación Narciso Mendoza,44
17,Morelos,006,Cuautla,0113,Campo Ahuehuepan,2
17,Morelos,006,Cuautla,0114,Campo Carrizal,0
17,Morelos,006,Cuautla,0115,Campo la Calavera,5
17,Morelos,006,Cuautla,0118,Las Granjas,0
17,Morelos,006,Cuautla,0120,Rancho el Paraíso,1
17,Morelos,006,Cuautla,0121,Rancho el Vivero,2
17,Morelos,006,Cuautla,0122,Ampliación Hermenegildo Galeana,2
17,Morelos,006,Cuautla,0123,Campo el Fresnal,9
17,Morelos,006,Cuautla,0124,El Polvorín,16
17,Morelos,006,Cuautla,0128,Ampliación Francisco I. Madero,1
17,Morelos,006,Cuautla,0129,El Embocadero,*
17,Morelos,006,Cuautla,0130,Colonia Ampliación 10 de Abril,21
17,Morelos,006,Cuautla,0133,Colonia el Paraíso,14
17,Morelos,006,Cuautla,0134,Ampliación Gabriel Tepepa,18
17,Morelos,006,Cuautla,0135,Ampliación Galeana Sur,6
17,Morelos,006,Cuautla,0136,Ampliación Iztaccíhuatl,6
17,Morelos,006,Cuautla,0137,Ampliación Iztaccíhuatl,8
17,Morelos,006,Cuautla,0139,Campo Nuevo,6
17,Morelos,006,Cuautla,0140,Campo Nuevo los Tepetates,11
17,Morelos,006,Cuautla,0141,Campo Santa Rosa,1
17,Morelos,006,Cuautla,0142,Casasano,1
17,Morelos,006,Cuautla,0143,Colonia Ampliación Tepeyac,26
17,Morelos,006,Cuautla,0145,Eusebio Jáuregui (La Angostura),15
17,Morelos,006,Cuautla,0147,Tierra y Libertad,1
17,Morelos,006,Cuautla,0148,Campo San Pedro,*
17,Morelos,006,Cuautla,0149,Santa Isabel,3
17,Morelos,006,Cuautla,0150,Plan de Ayala,1
17,Morelos,006,Cuautla,0151,Colonia Campestre,6
17,Morelos,006,Cuautla,0152,Campo el Guaje,4
17,Morelos,006,Cuautla,0153,Campo la Colmena,*
17,Morelos,006,Cuautla,0154,Campo las Tinajas,*
17,Morelos,006,Cuautla,0156,Potrero Ejidal las Lomas,0
17,Morelos,006,Cuautla,0157,Niños Héroes,0
17,Morelos,006,Cuautla,9998,Localidades de una vivienda,1
17,Morelos,006,Cuautla,9999,Localidades de dos viviendas,0
17,Morelos,007,Cuernavaca,0000,Total del Municipio,19167
17,Morelos,007,Cuernavaca,0001,Cuernavaca,17290
17,Morelos,007,Cuernavaca,0044,Buenavista del Monte,25
17,Morelos,007,Cuernavaca,0051,El Cebadal,3
17,Morelos,007,Cuernavaca,0052,Tlachichilpa,0
17,Morelos,007,Cuernavaca,0053,El Fresno,*
17,Morelos,007,Cuernavaca,0062,La Carpa,1
17,Morelos,007,Cuernavaca,0067,El Iterero,*
17,Morelos,007,Cuernavaca,0071,El Alambrado,0
17,Morelos,007,Cuernavaca,0074,Colonia Rodolfo López de Nava (Los Naranjos),23
17,Morelos,007,Cuernavaca,0075,Villa Santiago,153
17,Morelos,007,Cuernavaca,0080,Loma de los Amates (Loma de la Lagunilla),27
17,Morelos,007,Cuernavaca,0081,Loma del Cerrado,0
17,Morelos,007,Cuernavaca,0083,Tepeite,*
17,Morelos,007,Cuernavaca,0085,Rancho los Ciruelos,2
17,Morelos,007,Cuernavaca,0086,La Unión,42
17,Morelos,007,Cuernavaca,0087,Las Minas (Las Minas del Tecolote),1
17,Morelos,007,Cuernavaca,0089,Ampliación la Cruz (Ampliación los Ramos),11
17,Morelos,007,Cuernavaca,0090,El Bosque,*
17,Morelos,007,Cuernavaca,0092,El Cerrito (Cuautenco),3
17,Morelos,007,Cuernavaca,0094,Fraccionamiento Universo,140
17,Morelos,007,Cuernavaca,0096,Colonia Paraíso,25
17,Morelos,007,Cuernavaca,0098,Loma del Cerro,*
17,Morelos,007,Cuernavaca,0100,Lomas de Ahuatepec,76
17,Morelos,007,Cuernavaca,0101,Los Potreritos,4
17,Morelos,007,Cuernavaca,0102,Colonia los Cerritos,100
17,Morelos,007,Cuernavaca,0103,Tlaltecuáhuitl,11
17,Morelos,007,Cuernavaca,0104,Colonia San Miguel Apatlaco,19
17,Morelos,007,Cuernavaca,0105,Colonia Santa Elena de la Cruz,20
17,Morelos,007,Cuernavaca,0106,La Cañada,34
17,Morelos,007,Cuernavaca,0107,Cerritos de García,43
17,Morelos,007,Cuernavaca,0108,Colonia Alarcón,42
17,Morelos,007,Cuernavaca,0109,Colonia el Copalito,27
17,Morelos,007,Cuernavaca,0111,Colonia San Antonio del Jagüey,11
17,Morelos,007,Cuernavaca,0112,Jardines del Edén,5
17,Morelos,007,Cuernavaca,0114,Colonia Cuauhtémoc,9
17,Morelos,007,Cuernavaca,0115,Los Limones,14
17,Morelos,007,Cuernavaca,0118,Colonia Rancho Alegre (Kilómetro 7.5),25
17,Morelos,007,Cuernavaca,0119,Santa María,8
17,Morelos,007,Cuernavaca,0120,Loma del Tzompantle,14
17,Morelos,007,Cuernavaca,0121,Campo el Alambrado,0
17,Morelos,007,Cuernavaca,0122,Colonia Jardines de Zoquipa,9
17,Morelos,007,Cuernavaca,0123,Colonia Milpillas,49
17,Morelos,007,Cuernavaca,0125,Fraccionamiento Lomas de Ahuatlán,695
17,Morelos,007,Cuernavaca,0126,Lomas de Chamilpa,0
17,Morelos,007,Cuernavaca,0127,La Cañada de Chalchihuapan,4
17,Morelos,007,Cuernavaca,0128,Entronque de Huitzilac,1
17,Morelos,007,Cuernavaca,0129,Nueva Jerusalén,11
17,Morelos,007,Cuernavaca,0131,Colonia el Mirador,0
17,Morelos,007,Cuernavaca,0133,Colonia las Flores,25
17,Morelos,007,Cuernavaca,0134,Colonia Lomas de la Herradura,5
17,Morelos,007,Cuernavaca,0135,Colonia los Papayos,31
17,Morelos,007,Cuernavaca,0136,Colonia Nueva Santa María,25
17,Morelos,007,Cuernavaca,0137,Colonia Ocotitla,2
17,Morelos,007,Cuernavaca,0138,Colonia Tenochtitlan,10
17,Morelos,007,Cuernavaca,0139,Colonia Unidad Deportiva,49
17,Morelos,007,Cuernavaca,0140,Loma de Popotla,0
17,Morelos,007,Cuernavaca,0142,Loma del Tilcuate,*
17,Morelos,007,Cuernavaca,0143,Los Ailes,2
17,Morelos,007,Cuernavaca,0144,Colonia Bosques de la Florida,9
17,Morelos,007,Cuernavaca,0145,Colonia México Lindo,7
17,Morelos,007,Cuernavaca,0146,Lomas Verdes de Ahuatepec,25
17,Morelos,007,Cuernavaca,0147,El Paraíso,0
17,Morelos,007,Cuernavaca,9998,Localidades de una vivienda,0
17,Morelos,007,Cuernavaca,9999,Localidades de dos viviendas,0
17,Morelos,008,Emiliano Zapata,0000,Total del Municipio,4386
17,Morelos,008,Emiliano Zapata,0001,Emiliano Zapata,2501
17,Morelos,008,Emiliano Zapata,0002,Tepetzingo,70
17,Morelos,008,Emiliano Zapata,0003,Tetecalita,102
17,Morelos,008,Emiliano Zapata,0004,Tezoyuca,210
17,Morelos,008,Emiliano Zapata,0005,Tres de Mayo,1052
17,Morelos,008,Emiliano Zapata,0020,Campo el Capulín (La Presa),*
17,Morelos,008,Emiliano Zapata,0031,Palo Escrito (Colonia Benito Juárez),44
17,Morelos,008,Emiliano Zapata,0035,Campo Chalma,1
17,Morelos,008,Emiliano Zapata,0036,Campo el Órgano,10
